,DAUID,PRNAME
1994,10010191,Newfoundland and Labrador / Terre-Neuve-et-Labrador
1995,10010191,Newfoundland and Labrador / Terre-Neuve-et-Labrador
3794,10010271,Newfoundland and Labrador / Terre-Neuve-et-Labrador
3795,10010271,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4314,10010496,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4315,10010496,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4354,10010497,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4355,10010497,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4394,10010498,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4395,10010498,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4434,10010499,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4435,10010499,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4474,10010500,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4475,10010500,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4514,10010501,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4515,10010501,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4554,10010502,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4555,10010502,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4594,10010503,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4595,10010503,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4634,10010504,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4635,10010504,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4954,10010282,Newfoundland and Labrador / Terre-Neuve-et-Labrador
4955,10010282,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6394,10010334,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6395,10010334,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6674,10010517,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6675,10010517,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6754,10010519,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6755,10010519,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6794,10010520,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6795,10010520,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6874,10010509,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6875,10010509,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6994,10010512,Newfoundland and Labrador / Terre-Neuve-et-Labrador
6995,10010512,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7034,10010508,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7035,10010508,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7074,10010562,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7075,10010562,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7114,10010563,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7115,10010563,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7154,10010553,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7155,10010553,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7194,10010554,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7195,10010554,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7234,10010555,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7235,10010555,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7274,10010556,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7275,10010556,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7314,10010560,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7315,10010560,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7354,10010515,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7355,10010515,Newfoundland and Labrador / Terre-Neuve-et-Labrador
